cod	lat	lng	intrusion	variation	flag_variation
08036	41.3899238	2.1511635	2	36.5	neg
08037	41.3990479	2.1652863	3	60.9	pos
08038	41.3636056	2.1523914	5	31.3	pos
08039	41.3570442	2.1683571	3	0.0	null
08040	41.3364545	2.1302944	4	40.7	neg
08041	41.4182256	2.1769564	2	24.8	pos
08042	41.4433367	2.1720423	5	37.1	pos
08100	41.5450948	2.2089109	2	21.2	neg
08105	41.5096571	2.2335066	1	26.6	neg
08107	41.532089	2.235967	6	0.0	null
08110	41.4904225	2.1941598	6	0.0	null
08120	41.5127697	2.2015347	2	45.6	neg
08130	41.5356682	2.1794136	2	33.6	pos
08140	41.6512425	2.1352039	2	6.8	neg
08150	41.564686	2.2285864	2	84.9	pos
08160	41.5567683	2.2507317	1	37.2	neg
08170	41.5439491	2.2679632	5	36.4	neg
08172	41.4699731	2.0836809	2	65.6	pos
08173	41.4573378	2.0910377	1	22.1	neg
08174	41.4978645	2.0616178	1	14.2	neg
08178	41.8296308	2.1744993	25	100.0	pos
08180	41.8112127	2.0959429	3	4.6	neg
08181	41.6113574	2.1352039	5	135.3	pos
