Municipio	cpos
LLOSETA	07360
BINIAMAR	07369
ALCUDIA	07400
BAHIA DE ALCUDIA	07408
BAHIA CLUB	07409
AUCANADA	07410
SA POBLA/LA POBLA	07420
LLUBI	07430
MURO	07440
SANTA MARGALIDA	07450
CA'N PICAFORT	07458
COLONIA VIRGEN DEL CARMEN	07459
HORTA DE LA FONT, L', URBANITZACIO	07460
CALA CARBO	07469
BASE AERIA DE POLLENÇA	07470
MANACOR	07500
MOLI DEN COVAS	07509
SINEU	07510
LLORET DE VISTALEGRE	07518
MARIA DE LA SALUT	07519
BON ANY	07520
ARIANY	07529
SANT LLORENÇ DES CARDASSAR	07530
SAN MIGUEL DE SON CARRIO	07540
SON SERVERA	07550
CALA BONA	07559
BON REPOS	07560
ARTA	07570
BETLEM	07579
CAPDEPERA	07580
CALA MESQUIDA	07589
CALA GAT	07590
CALA GUYA	07599
Mallorca	07600
Mallorca	07608
Mallorca	07609
Mallorca	07610
Mallorca	07611
LLUCMAJOR	07620
CURA	07629
CAMPOS	07630
